posession,quarter,event,special_type,location_description,result_description,away_score,home_score
away,4,,,3rd and 10 at USU 40,Joe Hill run for 4 yds to the UthSt 44,,
away,4,,,4th and 6 at USU 44,"Jaron Bentrude punt for 34 yds , Devon Blackmon returns for 4 yds to the BYU 26",,
home,4,,,1st and 10 at BYU 26,"BYU Penalty, False Start (Tejan Koroma) to the BYU 21",35,20
home,4,,,1st and 15 at BYU 21,Christian Stewart pass incomplete to Jordan Leslie,,
home,4,,,2nd and 15 at BYU 21,Christian Stewart pass incomplete to Jordan Leslie,,
home,4,,,3rd and 15 at BYU 21,Christian Stewart pass incomplete,,
home,4,,,4th and 15 at BYU 21,"Scott Arellano punt for 37 yds, fair catch by JoJo Natson at the UthSt 42",,
away,4,,,1st and 10 at USU 42,Joe Hill run for 12 yds to the BYU 46 for a 1ST down,35,20
away,4,,,1st and 10 at BYU 46,Joe Hill run for 4 yds to the BYU 42,,
,4,,,,"Timeout BYU, clock 06:53",,
away,4,,,2nd and 6 at BYU 42,Nick Vigil run for 4 yds to the BYU 38,,
away,4,,,3rd and 2 at BYU 38,Nick Vigil run for 10 yds to the BYU 28 for a 1ST down,,
away,4,,,1st and 10 at BYU 28,Nick Vigil run for a loss of 1 yard to the BYU 29,,
away,4,,,2nd and 11 at BYU 29,Nick Vigil run for no gain to the BYU 29,,
,4,,,,"Timeout BYU, clock 05:26",,
away,4,,,3rd and 11 at BYU 29,Joe Hill run for a loss of 3 yards to the BYU 32,,
away,4,,,4th and 14 at BYU 32,"UTAH ST Penalty, Delay of Game (-5 Yards) to the BYU 37",,
away,4,,,4th and 19 at BYU 37,"Jaron Bentrude punt for 20 yds, fair catch by Mitchell Juergens at the BYU 17",,
home,4,,,1st and 10 at BYU 17,Christian Stewart sacked by Torrey Green for a loss of 9 yards to the BYU 8,35,20
home,4,,,2nd and 19 at BYU 8,Christian Stewart pass complete to Mitch Mathews for 26 yds to the BYU 34 for a 1ST down,,
home,4,,,1st and 10 at BYU 34,Christian Stewart run for 6 yds to the BYU 40,,
home,4,,,2nd and 4 at BYU 40,Christian Stewart run for 5 yds to the BYU 45 for a 1ST down,,
home,4,,,1st and 10 at BYU 45,Christian Stewart pass incomplete to Terenn Houk,,
home,4,,,2nd and 10 at BYU 45,Christian Stewart pass incomplete,,
home,4,,,3rd and 10 at BYU 45,Christian Stewart pass incomplete to Mitchell Juergens,,
home,4,,,4th and 10 at BYU 45,Christian Stewart pass complete to Paul Lasike for 7 yds to the UthSt 48,,
away,4,,,1st and 10 at USU 48,Joe Hill run for 1 yd to the UthSt 49,35,20
away,4,,,2nd and 9 at USU 49,Rashad Hall run for no gain to the UthSt 49,,
away,4,,,3rd and 9 at USU 49,Rashad Hall run for 6 yds to the BYU 45,,
,4,,,,"Timeout UTAH ST, clock 00:18",,
away,4,,,4th and 3 at BYU 45,Jaron Bentrude punt for 45 yds for a touchback,,
home,4,,,1st and 10 at BYU 20,Christian Stewart pass complete to Jordan Leslie for 41 yds to the UthSt 39 for a 1ST down,35,20
,,,,,End of 4th Quarter,,
